name,status,latency,DSP_usage,FF_usage,LUT_usage,BRAM_18K_usage,URAM_usage,DSP_avail,FF_avail,LUT_avail,BRAM_18K_avail,URAM_avail
bicg,SUCCESS,959805,15,1784,1525,0,0,4272,850560,425280,2160,80
floyd-warshall,SUCCESS,250000004,1,346,641,0,0,4272,850560,425280,2160,80
gemm,SUCCESS,10610001,26,2120,1895,0,0,4272,850560,425280,2160,80
gesummv,SUCCESS,375026,15,2076,1584,0,0,4272,850560,425280,2160,80
jacobi-1d,SUCCESS,162901,14,1582,1463,0,0,4272,850560,425280,2160,80
jacobi-2d,SUCCESS,36907901,17,2741,3015,0,0,4272,850560,425280,2160,80
mvt,SUCCESS,1290402,14,1664,1635,0,0,4272,850560,425280,2160,80

